City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,sao joao da barra,-21.6403,-41.0511,299.2,77,92,4.61,BR,1683828290
84,yerofey pavlovich,53.9667,121.9667,282.17,84,100,2.1,RU,1683828290
85,la carolina,38.2756,-3.6153,297.71,19,10,6.32,ES,1683828291
86,sao raimundo nonato,-9.0153,-42.6994,305.41,38,74,2.44,BR,1683828292
87,hawaiian paradise park,19.5933,-154.9731,297.61,88,0,1.54,US,1683828293
88,sitka,57.0531,-135.33,281.67,85,100,2.9,US,1683828148
89,badger,64.8,-147.5333,285.93,53,75,1.54,US,1683828093
90,east london,-33.0153,27.9116,290.67,82,0,4.12,ZA,1683828295
91,gaigeturi,33.4644,126.3183,288.18,88,20,5.14,KR,1683828295
92,bredasdorp,-34.5322,20.0403,286.49,65,100,5.18,ZA,1683828296
93,coatepec harinas,18.8949,-99.7215,297.42,29,14,2.98,MX,1683828066
94,constantia,-34.0314,18.4183,287.77,63,75,7.72,ZA,1683828296
95,miandrivazo,-19.5167,45.4667,299.39,64,98,0.72,MG,1683828297
96,polyarnyy,69.1989,33.4478,276.61,99,100,2.17,RU,1683828297
97,forster,-32.1667,152.5167,286.26,91,9,2.22,AU,1683828297
98,ciudad constitucion,25.0369,-111.6644,297.3,30,8,7.59,MX,1683828297
99,anadyr,64.75,177.4833,272.43,80,0,4.0,RU,1683828298
100,vilyuchinsk,52.9306,158.4028,274.3,93,100,3.16,RU,1683828299
101,sarkand,45.41,79.9186,292.12,26,100,3.6,KZ,1683828299
102,banda aceh,5.5577,95.3222,300.33,79,99,1.5,ID,1683828299
103,lompoc,34.6391,-120.4579,292.38,70,44,3.58,US,1683828300
104,monki,53.405,22.7979,286.86,64,62,3.66,PL,1683828300
105,punta arenas,-53.15,-70.9167,282.21,73,0,3.09,CL,1683828154
106,rio grande,-32.035,-52.0986,292.21,69,67,5.32,BR,1683828301
107,port blair,11.6667,92.75,301.58,77,100,8.97,IN,1683828301
108,ust-nera,64.5667,143.2,272.63,89,98,2.04,RU,1683828301
109,saint-francois,46.4154,3.9054,285.84,71,96,2.57,FR,1683828301
110,tura,25.5198,90.2201,298.64,47,99,0.91,IN,1683828005
111,cabo san lucas,22.8909,-109.9124,303.49,29,1,5.85,MX,1683828031
112,richards bay,-28.783,32.0377,293.31,89,0,3.16,ZA,1683828303
113,beau vallon,-20.4189,57.6953,298.28,73,40,5.14,MU,1683828304
114,bethel,41.3712,-73.414,300.17,32,0,5.14,US,1683828304
115,susuman,62.7833,148.1667,271.42,92,83,0.4,RU,1683828305
116,luorong,24.4058,109.6086,290.66,88,90,2.78,CN,1683828306
117,dubbo,-32.25,148.6167,281.22,87,0,5.14,AU,1683828307
118,sosnogorsk,63.6023,53.8817,280.14,58,82,2.5,RU,1683828308
119,homer,59.6425,-151.5483,281.36,81,0,5.14,US,1683828308
120,ciudad acuna,29.3232,-100.9522,305.54,51,75,2.06,MX,1683828309
121,olean,42.0776,-78.4297,298.53,40,86,2.63,US,1683828309
122,kudahuvadhoo,2.6708,72.8944,301.63,77,98,7.17,MV,1683828310
123,puerto deseado,-47.7503,-65.8938,287.46,58,5,0.11,AR,1683828310
124,dabakala,8.3667,-4.4333,306.52,43,87,2.52,CI,1683828311
125,queenstown,-31.8976,26.8753,285.69,64,53,1.86,ZA,1683828311
126,petlawad,23.0,74.8,307.46,12,0,3.15,IN,1683828312
127,utrik,11.2278,169.8474,300.42,81,95,8.1,MH,1683828312
128,nadi,-17.8,177.4167,295.15,88,20,3.09,FJ,1683828313
129,andalgala,-27.5819,-66.3165,294.57,51,12,3.54,AR,1683828068
130,narasannapeta,18.4167,84.05,301.32,82,99,1.51,IN,1683828313
131,vadso,70.0744,29.7487,282.64,76,0,2.06,NO,1683828314
132,kissidougou,9.1848,-10.0999,305.58,40,89,3.96,GN,1683828315
133,grand falls-windsor,48.9332,-55.6649,286.76,35,22,2.68,CA,1683828316
134,rongelap,11.1635,166.8941,300.51,82,96,7.32,MH,1683828316
135,puerto ayora,-0.7393,-90.3518,304.13,94,64,3.13,EC,1683828293
136,barreiras,-12.1528,-44.99,307.59,27,92,3.06,BR,1683828047
137,al ghayzah,16.2079,52.176,301.87,68,65,4.14,YE,1683828318
138,xiulin,29.7167,112.4,289.66,79,5,2.07,CN,1683828324
139,argostolion,38.1811,20.489,291.19,72,40,1.03,GR,1683828325
140,coquimbo,-29.9533,-71.3436,290.0,77,20,2.57,CL,1683828043
141,pangai,-19.8,-174.35,298.21,94,20,1.03,TO,1683828326
142,kill devil hills,36.0307,-75.676,296.16,58,0,5.14,US,1683828047
143,borba,-4.3878,-59.5939,298.62,96,98,2.03,BR,1683828326
144,manokwari,-0.8667,134.0833,297.89,91,100,4.22,ID,1683828327
145,port douglas,-16.4833,145.4667,295.62,87,100,4.55,AU,1683828327
146,inari,68.906,27.0288,285.26,96,100,2.33,FI,1683828327
147,al jubayl,27.0112,49.6583,300.25,62,24,4.92,SA,1683828328
148,nelson,-41.2833,173.2833,277.2,89,8,0.45,NZ,1683828328
149,kralendijk,12.15,-68.2667,304.14,62,75,7.2,BQ,1683828328
150,mumbwa,-14.9783,27.0619,290.26,44,1,1.69,ZM,1683828329
151,ribeira grande,38.5167,-28.7,294.37,60,20,5.36,PT,1683828330
152,ostiglia,45.0712,11.1374,287.64,87,97,1.95,IT,1683828330
153,kyshtovka,56.555,76.6271,280.56,68,92,5.07,RU,1683828330
154,haenam,34.5711,126.5989,286.53,74,78,1.26,KR,1683828336
155,palafrugell,41.9174,3.1631,290.05,47,84,3.75,ES,1683828319
156,fort mcmurray,56.7268,-111.381,293.92,34,0,2.57,CA,1683828346
157,aitape,-3.1374,142.3475,298.83,89,99,1.73,PG,1683828347
158,san pedro pochutla,15.7333,-96.4667,306.32,49,31,5.03,MX,1683828342
159,vorkuta,67.5,64.0,263.86,98,98,1.66,RU,1683828347
160,verkhnevilyuysk,63.4453,120.3167,271.39,75,20,1.58,RU,1683828348
161,huanuni,-18.2667,-66.85,285.42,32,85,4.84,BO,1683828348
162,tromso,69.6489,18.9551,281.1,81,75,7.2,NO,1683828348
163,hammerfest,70.6634,23.6821,280.4,100,75,1.54,NO,1683828349
164,tiksi,71.6872,128.8694,261.35,82,82,9.56,RU,1683828271
165,nadym,65.5333,72.5167,264.38,91,87,2.8,RU,1683828349
166,new norfolk,-42.7826,147.0587,282.87,69,100,0.89,AU,1683828354
167,touros,-5.1989,-35.4608,302.05,65,33,5.08,BR,1683828355
168,port mathurin,-19.6833,63.4167,298.55,77,72,9.34,MU,1683828091
169,belmonte,-15.8631,-38.8828,300.35,70,47,4.33,BR,1683828356
170,murun-kuren,49.6342,100.1625,279.0,58,37,1.43,MN,1683828356
171,whitehorse,60.7161,-135.0538,285.43,45,40,5.14,CA,1683828084
172,laguna,38.421,-121.4238,293.39,63,0,3.09,US,1683828353
173,lihue,21.9789,-159.3672,297.73,88,100,3.6,US,1683828357
174,dukku,10.8231,10.7717,308.85,19,57,2.3,NG,1683828357
175,katsuura,35.1333,140.3,288.76,66,99,2.34,JP,1683828357
176,kula,38.5473,28.6498,287.17,10,96,25.93,TR,1683828132
177,tokar,18.4254,37.729,301.04,59,17,2.38,SD,1683828358
178,kristiansund,63.1115,7.732,284.18,81,75,2.06,NO,1683828358
179,along,28.1667,94.7667,290.77,84,76,1.5,IN,1683828359
180,college,64.8569,-147.8028,285.98,53,75,2.57,US,1683828359
181,kothen,51.75,11.9667,291.43,79,99,3.6,DE,1683828359
182,bataipora,-22.2953,-53.2711,297.13,38,8,3.41,BR,1683828359
183,havelian,34.0536,73.1657,296.39,28,100,3.12,PK,1683828360
184,tazacorte,28.629,-17.9293,296.57,78,40,8.23,ES,1683828362
185,rio gallegos,-51.6226,-69.2181,286.18,50,0,5.14,AR,1683828145
186,edd,13.9297,41.6925,303.9,68,72,2.48,ER,1683828363
187,novodvinsk,64.4165,40.8122,281.85,74,97,2.3,RU,1683828363
188,crane,31.3974,-102.3501,300.44,10,0,6.76,US,1683828364
189,caibarien,22.5206,-79.4669,304.77,69,21,5.33,CU,1683828365
190,wotho,10.1657,166.0102,300.47,83,94,6.05,MH,1683828365
191,mount gambier,-37.8333,140.7667,284.84,95,100,2.11,AU,1683828366
192,asadabad,34.7824,48.1185,288.12,35,85,1.12,IR,1683828366
193,gadzhiyevo,69.2551,33.3362,275.87,100,100,2.25,RU,1683828363
194,harper,4.375,-7.7169,301.94,78,22,3.48,LR,1683828368
195,ilha de mocambique,-15.0342,40.7358,299.66,71,22,4.46,MZ,1683828369
